County,Number of Returns,Single Returns,Joint Returns,Elderly Returns,Total Income Amount,Returns w/ Uunemployment Compensation,Unemployment Compensation Amount
Roanoke city,45940.0,24880.0,11680.0,10770.0,2264029.0,1110.0,3357.0
Roberts County,4790.0,2170.0,1770.0,1480.0,231525.0,120.0,602.0
Robertson County,42270.0,17950.0,17280.0,9820.0,2234500.0,740.0,3129.0
Robeson County,47630.0,18530.0,12420.0,9280.0,1718094.0,960.0,2231.0
Rock County,85010.0,41530.0,32350.0,22570.0,4747787.0,3020.0,12232.0
Rock Island County,69410.0,33590.0,24900.0,20600.0,3839088.0,3400.0,16009.0
Rockbridge County,10140.0,4430.0,4490.0,3490.0,575495.0,350.0,875.0
Rockcastle County,5960.0,2270.0,2730.0,1280.0,240453.0,240.0,1020.0
Rockdale County,40130.0,17040.0,11600.0,8870.0,1944358.0,990.0,2772.0
Rockingham County,248170.0,119250.0,100930.0,68350.0,19870347.0,6990.0,38183.0
Rockland County,149870.0,68640.0,59870.0,38900.0,13576020.0,3770.0,21581.0
Rockwall County,44570.0,17110.0,21970.0,9960.0,272525.0,950.0,5422.0
Roger Mills County,1490.0,550.0,800.0,530.0,83910.0,0.0,0.0
Rogers County,40640.0,15750.0,19580.0,10340.0,2757083.0,1220.0,5934.0
Rolette County,4950.0,1850.0,1490.0,1140.0,226313.0,570.0,3054.0
Rooks County,2420.0,1140.0,1030.0,830.0,94625.0,50.0,187.0
Roosevelt County,11450.0,4990.0,4050.0,2690.0,466874.0,220.0,881.0
Roscommon County,11380.0,5290.0,4910.0,5220.0,508353.0,760.0,2453.0
Roseau County,7610.0,3440.0,3320.0,1980.0,444670.0,790.0,2709.0
Rosebud County,3850.0,1600.0,1550.0,1100.0,206648.0,160.0,638.0
Ross County,32710.0,13840.0,11540.0,8490.0,1603186.0,970.0,4722.0
Routt County,13410.0,7200.0,5100.0,3260.0,1298993.0,390.0,1803.0
Rowan County,71580.0,30710.0,27500.0,17510.0,3487876.0,1370.0,4497.0
Runnels County,4560.0,1940.0,1990.0,1370.0,213037.0,80.0,491.0
Rush County,9550.0,4350.0,4010.0,2910.0,452259.0,160.0,623.0
Rusk County,27100.0,11060.0,11670.0,7570.0,1337807.0,1250.0,5139.0
Russell County,43550.0,17780.0,16250.0,10080.0,1800610.0,1450.0,4301.0
Rutherford County,175000.0,79500.0,66030.0,33180.0,9717296.0,2030.0,6989.0
Rutland County,31380.0,16640.0,11460.0,10400.0,1660835.0,1640.0,5717.0
Sabine County,4340.0,1620.0,2030.0,1630.0,222034.0,260.0,1486.0
Sabine Parish,8780.0,3060.0,3790.0,2450.0,460100.0,220.0,888.0
Sac County,4760.0,2140.0,2190.0,1700.0,268038.0,200.0,861.0
Sacramento County,697550.0,340670.0,241270.0,157180.0,45158076.0,37720.0,169152.0
Sagadahoc County,18860.0,9140.0,7660.0,6060.0,1185894.0,410.0,1732.0
Saginaw County,90060.0,43890.0,31630.0,27870.0,4592761.0,4140.0,13716.0
Saguache County,2060.0,1000.0,740.0,780.0,75281.0,60.0,272.0
Salem County,30280.0,14020.0,11050.0,8410.0,1870721.0,2070.0,13524.0
Salem city,11660.0,5540.0,4490.0,3630.0,712102.0,220.0,732.0
Saline County,104440.0,43900.0,44320.0,28800.0,5890373.0,2880.0,10216.0
Salt Lake County,518800.0,247030.0,202950.0,95700.0,36745290.0,11470.0,50207.0
Saluda County,8200.0,3210.0,3030.0,2170.0,370809.0,110.0,341.0
Sampson County,25820.0,9340.0,8770.0,5760.0,1098968.0,330.0,726.0
San Augustine County,3240.0,1280.0,1300.0,1060.0,132519.0,140.0,655.0
San Benito County,28910.0,12590.0,11310.0,5930.0,2049115.0,2700.0,12009.0
San Bernardino Count,920550.0,424860.0,312900.0,167720.0,49793098.0,49900.0,218321.0
San Diego County,1586430.0,785620.0,585040.0,353750.0,125561036.0,74340.0,356690.0
San Francisco County,482500.0,313700.0,129160.0,93120.0,73264308.0,21660.0,114746.0
San Jacinto County,10730.0,4100.0,4770.0,3200.0,571073.0,430.0,2188.0
San Joaquin County,319200.0,141340.0,117760.0,64420.0,19114401.0,27070.0,127968.0
San Juan County,62740.0,28710.0,23520.0,17180.0,3698579.0,2360.0,10847.0
San Luis Obispo Coun,132150.0,65050.0,53100.0,44220.0,9998023.0,5580.0,25930.0
San Mateo County,390320.0,198120.0,149890.0,96370.0,68073386.0,15880.0,84764.0
San Miguel County,15920.0,8340.0,4460.0,4500.0,882666.0,550.0,2311.0
San Patricio County,31470.0,13330.0,11640.0,6810.0,1697547.0,2250.0,10296.0
San Saba County,2390.0,960.0,1090.0,840.0,112100.0,40.0,163.0
Sanborn County,1110.0,510.0,510.0,340.0,53131.0,30.0,102.0
Sanders County,5150.0,2140.0,2510.0,2200.0,218856.0,390.0,1756.0
Sandoval County,66440.0,29530.0,25670.0,19390.0,3926868.0,1980.0,9688.0
Sandusky County,29940.0,13710.0,10130.0,8300.0,1472518.0,1180.0,4591.0
Sangamon County,98320.0,48260.0,34560.0,28420.0,6721679.0,3300.0,16598.0
Sanilac County,19170.0,8750.0,8380.0,6330.0,864814.0,1220.0,3853.0
Sanpete County,9960.0,3450.0,5500.0,2600.0,462042.0,260.0,1132.0
